Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,73,0,470,687.0048544234086,121.2611660012044,2860.297499981243,15.0,0.6104907160194605,0.0,470,660,890,1100,1500,2500,2900,2900,2900,2900,2900
GET,GET /analytics/bans/most-banned,137,0,790,1012.6171006131101,121.58174999058247,3520.339667040389,607.0,1.14571545335159,0.0,790,1200,1500,1700,2300,2800,3100,3300,3500,3500,3500
GET,GET /analytics/champion/{id}/ban-rate,80,0,620,937.09748176625,120.7977089798078,3072.683875041548,97.0,0.6690309216651621,0.0,700,1200,1600,1900,2300,2500,3000,3100,3100,3100,3100
GET,GET /analytics/player/{puuid}/bans,217,0,1700,1709.2990121326177,459.2542910249904,3894.135250011459,42623.85253456221,1.8147463750167523,0.0,1700,2100,2300,2400,3000,3400,3500,3700,3900,3900,3900
GET,GET /analytics/player/{puuid}/role-performance,288,0,1300,1406.7092505631283,312.7093749935739,3441.714040993247,1533.6666666666667,2.4085113179945834,0.0,1300,1700,2000,2200,2700,3100,3200,3300,3400,3400,3400
GET,GET /analytics/player/{puuid}/trends,230,0,1300,1398.922189291435,124.46937500499189,4214.913625037298,5154.517391304348,1.923463899787341,0.0,1300,1900,2200,2400,2900,3400,3700,3800,4200,4200,4200
GET,GET /champions,136,0,570,702.8095683079514,196.42695802031085,2387.346333009191,44379.0,1.1373525668307756,0.0,580,770,920,1000,1200,1700,2100,2200,2400,2400,2400
GET,GET /health,78,0,750,1031.905818861933,121.04945798637345,3168.8806249876507,15.0,0.6523051486235331,0.0,760,1300,1500,1800,2400,3000,3100,3200,3200,3200,3200
GET,GET /metrics/player/{puuid},369,0,810,1114.9191221955477,122.21891700755805,3706.2724999850616,154.12737127371273,3.08590512618056,0.0,810,1400,1800,2000,2700,3100,3400,3500,3700,3700,3700
GET,GET /players/,142,0,1300,1628.2910663318087,292.5796670024283,4235.886459005997,4361.0,1.1875298859556627,0.0,1400,2100,2500,2700,3300,4000,4200,4200,4200,4200,4200
,Aggregated,1750,0,1000,1245.9103952574744,120.7977089798078,4235.886459005997,10103.699428571428,14.63505141142542,0.0,1000,1500,1900,2100,2700,3100,3500,3700,4200,4200,4200
